model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,total_4bit_macs_per_frame,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
yolov8n-seg,349,46,315,131,3258243.0,11343974400.0,5691464400.0,0.0,11973120000.0,6006037200.0,,730.47,512,1024,128,256.0,174.5,post_placement,118,361,856.02 Megabytes/sec,856.02 Megabytes/sec,1.11 Gigabytes/sec,1.11 Gigabytes/sec,3.35,143,256,123,160,10,28,1914752,626560,512,2,1,64,False,False,True,False,False,2,0,N/A,hailo8,,,,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,lcu_util,l3_util,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util,boundary_in_bytes,boundary_out_bytes,inter_context_in_bytes,inter_context_out_bytes,ddr_portals_in_bytes,ddr_portals_out_bytes
contexts_total,0.13504379874776443,0.279598252305996,,,,0.681640625,0.8059025745949251,0.9777815687051727,0.9865479301215123,0.6776333099833043,0.9283667621776505,0.5215956760830394,0.33007226377129834,,no runtime data,no runtime data,N/A,0.40913403993658204,0.8470819362747942,,no runtime data,no runtime data,no runtime data,no runtime data,no runtime data,1228800.0,1634000.0,0.0,0.0,0.0,0.0
yolov8n-seg_context_0,0.13504379874776443,0.279598252305996,,0.9609375,0.3525390625,0.681640625,0.8059025745949251,0.9777815687051727,0.9865479301215123,0.6776333099833043,0.9283667621776505,0.5215956760830394,0.33007226377129834,,730.4681935886807,0.0013689849999999999,0.00197707,0.40913403993658204,0.8470819362747942,,single context,,,,,1228800.0,1634000.0,0.0,0.0,0.0,0.0

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,is_4bit_enhanced,is_smuffer_in,is_smuffer_out
normalization1,normalization,640,640,3,3,1,1,,,input_layer1,conv1,0,1228800.0,,767.78,520983,,1,1,1,8,1,15,1,,1,1,False,,False,,897.5993041992188,2393.59814453125,yolov8n-seg/normalization1,0,0,1,1.3090775000000001,0,3,0.4913787841796875,0.29482728242874146,0.46749963132957295,15,5120,yolov8n-seg_context_0,False,0.0013116475,0,2457600.0,0,8,0.0,255.0,0.003921568859368563,0.003921568859368563,0.0,1.0,8,8,16,0.4913787841796875,1.0,0.375,0.9514037772510292,1.0,0.17531236174858986,False,False,False
conv1,conv,640,640,16,3,3,3,2,2,normalization1,conv2,448.0,45875200,,833.51,479897,120960,7.0,4.0,4.0,16,1,7.0,,1,1,1,False,,False,combined (SPATIAL_W),3111.6775817871094,3590.397216796875,,0.0,0.0,4.0,1.3170125,0,16,0.3520527056285313,0.3221906088292599,0.24710695618282064,58.0,10240,yolov8n-seg_context_0,False,0.0013253625,1344,88473600,0,8,0.0,1.0,-19.832582473754883,20.999797821044922,-0.28124216198921204,35.57713317871094,8,8,16,0.270579774598747,1.0,1.0,0.8351002343145106,0.8571428571428571,0.22595816413803438,False,False,False
conv2,conv,320,320,32,16,3,3,2,2,conv1,conv_feature_splitter1_1 conv_feature_splitter1_2,4640.0,118784000,,811.48,492924,322560,7.0,4.0,4.0,32,2,4.0,,1,1,1,False,,False,combined (SPATIAL_W),3799.8370513916016,1795.1986083984375,,0.0,0.0,4.0,1.3255275,0,32,0.6857103620256696,0.2415809351950884,0.5196446414254771,63.0,10240,yolov8n-seg_context_0,False,0.0013418775,13920,235929600,10240,8,-0.28124216198921204,35.57713317871094,-2.78755259513855,3.086960554122925,-0.7139557600021362,181.34475708007812,8,8,16,0.6754356923366325,1.0,1.0,0.8512811038758666,0.8571428571428571,0.5750854392728652,False,False,False
conv_feature_splitter1_1,conv,160,160,16,32,1,1,1,1,conv2,concat1,528.0,13516800.0,,1363.04,293461,204800.0,1,1,1,16,2,1,1,1,1,1,False,,False,,598.3995361328125,299.19976806640625,yolov8n-seg/conv_feature_splitter1_1,0,0,1,1.3248075000000001,0,16,0.7414954900741577,0.17446951568126678,0.3973747119447116,12,2560,yolov8n-seg_context_0,False,0.0013480875,528.0,26214400.0,0,8,-0.7139557600021362,181.34475708007812,-1.4269486665725708,0.6317624449729919,-0.7303287386894226,45.828128814697266,8,8,16,0.7414954900741577,1.0,1.0,0.5359098163968196,1.0,0.3973747119447116,False,False,False
conv_feature_splitter1_2,conv,160,160,16,32,1,1,1,1,conv2,conv4 ew_add1 concat1,528.0,13516800.0,,1363.04,293461,204800.0,1,1,1,16,2,1,1,1,1,1,False,,False,,598.3995361328125,299.19976806640625,yolov8n-seg/conv_feature_splitter1_2,0,0,1,1.3248075000000001,0,16,0.7414954900741577,0.17446951568126678,0.3973747119447116,12,2560,yolov8n-seg_context_0,False,0.0013480875,528.0,26214400.0,0,8,-0.7139557600021362,181.34475708007812,-0.915911853313446,0.4941348135471344,-0.4387867748737335,27.533870697021484,8,8,16,0.7414954900741577,1.0,1.0,0.5359098163968196,1.0,0.3973747119447116,False,False,False
conv4,conv,160,160,16,16,3,3,1,1,conv_feature_splitter1_2,conv5,2320.0,59392000.0,,1047.03,382033,230400.0,4,1,2,4,1,1,1,1,1,1,True,,False,,299.19976806640625,299.19976806640625,yolov8n-seg/conv4,0,0,1,1.3310125000000002,0,4,0.6232969164848328,0.13401983678340912,0.43484769901688136,255,128,yolov8n-seg_context_0,False,0.001358875,2320.0,117964800.0,10240,8,-0.4387867748737335,27.533870697021484,-1.31035578250885,1.5986710786819458,-0.3115076422691345,26.166641235351562,8,8,16,0.6232969164848328,1.0,1.0,0.6976573885031612,1.0,0.43484769901688136,False,False,True
conv5,conv,160,160,16,16,3,3,1,1,conv4,ew_add1,2320.0,59392000.0,,1011.43,395479,230400.0,4,1,2,4,1,1,1,1,1,1,True,,False,,299.19976806640625,299.19976806640625,yolov8n-seg/conv5,0,0,1,1.330835,0,4,0.6021053194999695,0.12946325540542603,0.43484773326685183,12,2560,yolov8n-seg_context_0,False,0.0013674525,2320.0,117964800.0,10240,8,-0.3115076422691345,26.166641235351562,-0.932895302772522,0.783613383769989,-0.38550931215286255,32.382781982421875,8,8,16,0.6021053194999695,1.0,1.0,0.7222120768306447,1.0,0.43484773326685183,False,True,False
ew_add1,ew_add,160,160,16,16,,,,,conv_feature_splitter1_2 conv5,concat1,0,204800.0,,2548.11,156979,,1,1,1,16,0,1,0.0,,,,False,,False,,299.19976806640625,0.0,yolov8n-seg/ew_add1,1,0,1,1.3284625,0,16,0.6523165702819824,0.3261582851409912,0.1869998628295696,12,2560,yolov8n-seg_context_0,False,0.001379915,0,409600.0,0,8,N/A,N/A,N/A,N/A,-0.886541485786438,55.63047790527344,8,8,16,0.6523165702819824,1.0,1.0,0.2866704164033938,1.0,0.1869998628295696,False,False,False
concat1,concat,160|160|160,160|160|160,48,16|16|16,,,,,conv_feature_splitter1_1 conv_feature_splitter1_2 ew_add1,conv6,0,0,,2004.50,199551,,1,1,1,48,0,1,1,,,,False,,False,,299.19976806640625,0.0,yolov8n-seg/concat1,0,0,1,1.34044,0,48,0.7697280645370483,0.7697280645370483,0.2804997954806527,85,384,yolov8n-seg_context_0,False,0.0013943425,0,0,0,8,-0.7303287386894226,45.828128814697266,N/A,N/A,-0.886541485786438,55.63047790527344,8,8,8,0.7697280645370483,1.0,1.0,0.36441414624703705,0.0,0.2804997954806527,False,False,True
conv6,conv,160,160,32,48,1,1,1,1,concat1,conv7,1568.0,40140800.0,,750.72,532821,307200.0,2,1,2,16,4,3,1,1,1,1,True,,False,,897.5993041992188,598.3995361328125,yolov8n-seg/conv6,0,0,1,1.34263,0,16,0.6005769371986389,0.19218461215496063,0.5843745626415118,3,5120,yolov8n-seg_context_0,False,0.00139669,1568.0,78643200.0,0,8,-0.886541485786438,55.63047790527344,-0.6568113565444946,0.6484402418136597,-0.3731614351272583,31.34556007385254,8,8,16,0.6005769371986389,1.0,1.0,0.9730219834402861,1.0,0.5843745626415118,False,True,False
