epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.4124,0.64637,0.87813,0.8476,0.92588,0.91443,0.97393,0.80238,0.66788,0.49902,0.80094,0.000331492,0.000331492,0.0671823
2,89.0128,0.50194,0.46386,0.81223,0.97986,0.97633,0.99203,0.83107,0.62669,0.38677,0.79336,0.000642886,0.000642886,0.0341604
3,121.7,0.45547,0.40617,0.80303,0.98542,0.97403,0.99221,0.80166,0.72891,0.37632,0.80985,0.00093228,0.00093228,0.00111644
4,154.042,0.42274,0.35988,0.80007,0.98544,0.97985,0.99368,0.86856,0.50462,0.32134,0.77288,0.000901,0.000901,0.000901
5,186.263,0.417,0.3489,0.79824,0.99003,0.9849,0.99467,0.84689,0.60202,0.32257,0.78672,0.000868,0.000868,0.000868
6,218.646,0.39653,0.32529,0.79653,0.98881,0.99114,0.99463,0.84472,0.60569,0.30902,0.78666,0.000835,0.000835,0.000835
7,251.343,0.38523,0.31243,0.79323,0.99297,0.99059,0.99465,0.84026,0.6218,0.30938,0.79433,0.000802,0.000802,0.000802
8,283.652,0.37432,0.29779,0.7933,0.98889,0.9927,0.99463,0.8232,0.6625,0.3118,0.79923,0.000769,0.000769,0.000769
9,315.526,0.37037,0.28823,0.79031,0.99304,0.99444,0.9949,0.85098,0.57736,0.28408,0.78565,0.000736,0.000736,0.000736
10,347.674,0.363,0.27897,0.78932,0.99396,0.99229,0.99476,0.857,0.57572,0.27956,0.78498,0.000703,0.000703,0.000703
11,379.657,0.35541,0.27197,0.78885,0.99111,0.99451,0.99482,0.84404,0.61638,0.28656,0.79073,0.00067,0.00067,0.00067
12,411.793,0.35829,0.27083,0.78785,0.99715,0.99057,0.99478,0.8595,0.55537,0.26429,0.78161,0.000637,0.000637,0.000637
13,443.893,0.34194,0.25814,0.78766,0.99356,0.98953,0.99483,0.8489,0.57697,0.27518,0.78415,0.000604,0.000604,0.000604
14,475.683,0.35004,0.25399,0.78747,0.99611,0.99487,0.9949,0.85563,0.58311,0.26628,0.78404,0.000571,0.000571,0.000571
