epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.3653,0.68674,1.47568,0.93441,0.90193,0.90978,0.97215,0.84123,0.52186,0.7077,0.79974,0.000206044,0.000206044,0.000206044
2,135.142,0.44753,0.56203,0.83177,0.98928,0.98373,0.99397,0.85956,0.5227,0.49883,0.79367,0.000373354,0.000373354,0.000373354
3,188.359,0.39914,0.46667,0.81765,0.99234,0.9881,0.9947,0.82505,0.64714,0.46933,0.83322,0.000499414,0.000499414,0.000499414
4,241.182,0.37728,0.41642,0.81159,0.99136,0.98704,0.99452,0.84908,0.56696,0.41773,0.80172,0.000439375,0.000439375,0.000439375
5,293.304,0.36223,0.38294,0.80335,0.99062,0.99257,0.99457,0.87106,0.4884,0.37421,0.77844,0.0003775,0.0003775,0.0003775
6,345.05,0.34819,0.35977,0.80174,0.99514,0.99585,0.99489,0.86468,0.51564,0.35201,0.78382,0.000315625,0.000315625,0.000315625
7,397.684,0.33688,0.33547,0.80027,0.99789,0.99498,0.99493,0.85824,0.54462,0.34602,0.79556,0.00025375,0.00025375,0.00025375
8,449.469,0.32381,0.31702,0.79459,0.99338,0.99712,0.99497,0.8416,0.59489,0.35189,0.809,0.000191875,0.000191875,0.000191875
9,501.524,0.31653,0.30547,0.79301,0.99695,0.99484,0.99499,0.86776,0.50846,0.32409,0.78468,0.00013,0.00013,0.00013
10,553.66,0.30996,0.29897,0.79401,0.9975,0.99543,0.99497,0.86412,0.52907,0.31874,0.7899,6.8125e-05,6.8125e-05,6.8125e-05
