epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8159,0.76899,1.16693,0.8261,1.25976,0,0.99094,1,0.995,0.85024,0.99094,1,0.995,0.60475,0.47948,2.30139,0.51462,0.85426,0,0.000329749,0.000329749,0.0673548
2,30.394,0.58415,0.61292,0.57458,1.12713,0,0.99854,1,0.995,0.95549,0.99854,1,0.995,0.98355,0.26776,0.24648,0.29482,0.69678,0,0.000641201,0.000641201,0.034333
3,44.0664,0.51124,0.46579,0.49538,1.02727,0,0.99854,1,0.995,0.97719,0.99854,1,0.995,0.99278,0.25156,0.19646,0.258,0.69223,0,0.000930652,0.000930652,0.00128908
4,57.481,0.52792,0.42152,0.47477,1.0487,0,0.9985,1,0.995,0.94262,0.9985,1,0.995,0.993,0.26844,0.13838,0.29585,0.70411,0,0.000901,0.000901,0.000901
5,70.8391,0.46353,0.37597,0.44792,1.01625,0,0.99845,1,0.995,0.95127,0.99845,1,0.995,0.995,0.24737,0.14078,0.22733,0.68838,0,0.000868,0.000868,0.000868
6,84.3739,0.43435,0.37487,0.41313,0.97832,0,0.99526,1,0.995,0.94187,0.99526,1,0.995,0.99197,0.28905,0.14641,0.26896,0.70832,0,0.000835,0.000835,0.000835
7,97.8396,0.45614,0.36019,0.42726,0.99648,0,0.99848,1,0.995,0.96684,0.99848,1,0.995,0.99081,0.23865,0.15482,0.22633,0.68556,0,0.000802,0.000802,0.000802
8,111.407,0.38793,0.29666,0.39258,0.946,0,0.99853,1,0.995,0.97805,0.99853,1,0.995,0.995,0.20093,0.14988,0.21269,0.6712,0,0.000769,0.000769,0.000769
9,124.975,0.39823,0.38113,0.37049,0.97474,0,0.99855,1,0.995,0.97812,0.99855,1,0.995,0.995,0.20878,0.12499,0.18387,0.67518,0,0.000736,0.000736,0.000736
10,138.399,0.38439,0.30879,0.34193,0.93487,0,0.99856,1,0.995,0.98087,0.99856,1,0.995,0.99159,0.1985,0.11683,0.18201,0.6692,0,0.000703,0.000703,0.000703
11,152.038,0.35001,0.28413,0.33772,0.92679,0,0.99843,1,0.995,0.98359,0.99843,1,0.995,0.995,0.1824,0.12349,0.17911,0.6646,0,0.00067,0.00067,0.00067
12,165.755,0.33381,0.27267,0.32657,0.932,0,0.99855,1,0.995,0.98546,0.99855,1,0.995,0.995,0.16237,0.1153,0.16811,0.65341,0,0.000637,0.000637,0.000637
13,179.051,0.33007,0.28307,0.31476,0.90591,0,0.99851,1,0.995,0.98858,0.99851,1,0.995,0.99154,0.16012,0.12911,0.16949,0.65325,0,0.000604,0.000604,0.000604
14,192.428,0.33186,0.26332,0.31797,0.92994,0,0.99856,1,0.995,0.98129,0.99856,1,0.995,0.995,0.19121,0.12003,0.16974,0.66284,0,0.000571,0.000571,0.000571
15,205.766,0.32344,0.30341,0.319,0.9191,0,0.9986,1,0.995,0.995,0.9986,1,0.995,0.995,0.14521,0.1082,0.15309,0.64711,0,0.000538,0.000538,0.000538
16,219.265,0.32056,0.27086,0.30221,0.91176,0,0.99829,1,0.995,0.995,0.99829,1,0.995,0.995,0.13588,0.10652,0.14001,0.64402,0,0.000505,0.000505,0.000505
17,232.754,0.29813,0.26165,0.29031,0.90449,0,0.99849,1,0.995,0.98693,0.99849,1,0.995,0.995,0.14671,0.11321,0.14205,0.64707,0,0.000472,0.000472,0.000472
18,246.114,0.31153,0.26949,0.29638,0.91551,0,0.9986,1,0.995,0.995,0.9986,1,0.995,0.995,0.12885,0.10587,0.13946,0.64226,0,0.000439,0.000439,0.000439
19,259.718,0.29674,0.28884,0.28878,0.90914,0,0.99857,1,0.995,0.99168,0.99857,1,0.995,0.995,0.12036,0.1001,0.12884,0.64066,0,0.000406,0.000406,0.000406
20,273.004,0.27443,0.25882,0.26938,0.89607,0,0.99859,1,0.995,0.995,0.99859,1,0.995,0.995,0.12672,0.0972,0.11934,0.64043,0,0.000373,0.000373,0.000373
21,287.157,0.18798,0.16323,0.18532,0.82964,0,0.99857,1,0.995,0.995,0.99857,1,0.995,0.995,0.12408,0.10646,0.12721,0.63905,0,0.00034,0.00034,0.00034
22,300.148,0.18638,0.15565,0.17471,0.82595,0,0.99862,1,0.995,0.995,0.99862,1,0.995,0.995,0.13515,0.10053,0.11987,0.64019,0,0.000307,0.000307,0.000307
23,313.195,0.18436,0.14699,0.18136,0.83071,0,0.99859,1,0.995,0.995,0.99859,1,0.995,0.995,0.12034,0.09265,0.11323,0.63741,0,0.000274,0.000274,0.000274
24,326.068,0.1694,0.1396,0.16984,0.83521,0,0.99861,1,0.995,0.995,0.99861,1,0.995,0.995,0.10442,0.09477,0.11429,0.6352,0,0.000241,0.000241,0.000241
25,338.919,0.16402,0.13575,0.16432,0.8184,0,0.99862,1,0.995,0.995,0.99862,1,0.995,0.995,0.10693,0.09685,0.11029,0.63489,0,0.000208,0.000208,0.000208
