epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,7.18696,0.93277,2.01375,1.09888,1.47982,0,0.91688,0.6686,0.75491,0.58515,0.91688,0.6686,0.75004,0.55034,0.958,1.28789,1.25102,1.52311,0,0.000324074,0.000324074,0.0679167
2,12.4529,0.64886,0.684,0.68207,1.2125,0,0.96355,1,0.99324,0.89983,0.96355,1,0.99324,0.90021,0.40418,0.40641,0.43427,0.97466,0,0.000635713,0.000635713,0.034895
3,17.8566,0.60376,0.53951,0.66149,1.12503,0,0.94113,0.9697,0.99068,0.9031,0.94113,0.9697,0.98994,0.89847,0.35544,0.51761,0.40525,0.91142,0,0.000925352,0.000925352,0.00185128
4,23.0516,0.56498,0.52036,0.59979,1.11916,0,0.99185,1,0.995,0.92705,0.96877,1,0.99412,0.93562,0.35036,0.44688,0.39954,0.92034,0,0.000901,0.000901,0.000901
5,28.2999,0.49166,0.42919,0.53382,1.04796,0,1,0.95944,0.99105,0.90745,1,0.95944,0.98975,0.90206,0.41458,0.46958,0.42387,0.945,0,0.000868,0.000868,0.000868
6,33.4025,0.48415,0.51829,0.49816,1.05414,0,0.96502,1,0.99235,0.90474,0.96502,1,0.99235,0.92905,0.35043,0.46209,0.40124,0.89401,0,0.000835,0.000835,0.000835
7,38.6499,0.50004,0.44527,0.52251,1.05864,0,0.9954,1,0.995,0.92036,0.9954,1,0.995,0.91211,0.33165,0.41162,0.31671,0.89398,0,0.000802,0.000802,0.000802
8,43.8561,0.47379,0.35655,0.47788,1.04179,0,0.99486,0.9697,0.9925,0.9401,0.97051,0.99742,0.99412,0.93578,0.30743,0.48926,0.29252,0.85541,0,0.000769,0.000769,0.000769
9,49.1241,0.44455,0.3156,0.47266,1.02342,0,1,0.99789,0.995,0.93005,1,0.99789,0.995,0.92195,0.30561,0.48347,0.2933,0.87507,0,0.000736,0.000736,0.000736
10,54.3245,0.468,0.36445,0.5073,1.05063,0,0.99871,1,0.995,0.90641,0.99871,1,0.995,0.93072,0.31987,0.50644,0.30932,0.89275,0,0.000703,0.000703,0.000703
11,59.5239,0.39545,0.36797,0.40719,0.99729,0,0.99835,1,0.995,0.93556,0.99835,1,0.995,0.91456,0.33643,0.56766,0.3254,0.91699,0,0.00067,0.00067,0.00067
12,64.6614,0.41514,0.31241,0.4384,0.99892,0,0.99457,1,0.995,0.89669,0.96443,0.9697,0.97662,0.91776,0.32813,0.53638,0.29068,0.92561,0,0.000637,0.000637,0.000637
